SERVICECODEDESCRIPTION,,,,Count
DC Government Information,,,,
DC Government Information,,,,
Illegal Dumping,,,,
Recycling Collection - Missed,,,,
Parking Enforcement,,,,
Supercan - Delivery,,,,
Bulk Collection,,,,
Illegal Dumping,,,,
DC Government Information,,,,
DC Government Information,,,,
DC Government Information,,,,
Illegal Dumping,,,,
Parking Enforcement,,,,
Illegal Dumping,,,,
Bulk Collection,,,,
Scheduled Yard Waste,,,,
Illegal Dumping,,,,
Dead Animal Collection,,,,
Illegal Dumping,,,,
Dead Animal Collection,,,,
Bulk Collection,,,,
DC Government Information,,,,
Illegal Dumping,,,,
Scheduled Yard Waste,,,,
Bulk Collection,,,,
Bulk Collection,,,,
Residential Parking Permit Violation,,,,
Trash Collection - Missed,,,,
Parking Enforcement,,,,
Roadway Signs,,,,
Residential Parking Permit Violation,,,,
Bulk Collection,,,,
Sanitation Enforcement,,,,
Supercan - Repair,,,,
Scheduled Yard Waste,,,,
Scheduled Yard Waste,,,,
Scheduled Yard Waste,,,,
Trash Collection - Missed,,,,
Bulk Collection,,,,
Sanitation Enforcement,,,,
Streetlight Repair Investigation,,,,
Recycling Collection - Missed,,,,
Recycling Collection - Missed,,,,
Sidewalk Repair,,,,
Trash Collection - Missed,,,,
Bulk Collection,,,,
Scheduled Yard Waste,,,,
Bulk Collection,,,,
Parking Enforcement,,,,
Recycling Collection - Missed,,,,
Abandoned Vehicle - On Public Property,,,,
DC Government Information,,,,
Residential Parking Permit Violation,,,,
Bulk Collection,,,,
Dockless Vehicle Parking Complaint,,,,
Bulk Collection,,,,
DC Government Information,,,,
Roadway Signs,,,,
Sidewalk Repair,,,,
Illegal Dumping,,,,
Traffic Signal Issue,,,,
DC Government Information,,,,
DC How Am I Driving?,,,,
Rodent Inspection and Treatment,,,,
Parking Enforcement,,,,
Streetlight Repair Investigation,,,,
DC Government Information,,,,
Bulk Collection,,,,
Rat Replacement Containers,,,,
Streetlight Repair Investigation,,,,
Parking Enforcement,,,,
Bulk Collection,,,,
Bulk Collection,,,,
Bulk Collection,,,,
Bulk Collection,,,,
Illegal Dumping,,,,
Bulk Collection,,,,
Rodent Inspection and Treatment,,,,
Trash Collection - Missed,,,,
DC Government Information,,,,
Bulk Collection,,,,
Bulk Collection,,,,
Scheduled Yard Waste,,,,
Abandoned Vehicle - On Public Property,,,,
Parking Enforcement,,,,
Rodent Inspection and Treatment,,,,
Bulk Collection,,,,
DC Government Information,,,,
Rodent Inspection and Treatment,,,,
Bulk Collection,,,,
Abandoned Vehicle - On Public Property,,,,
Trash Collection - Missed,,,,
Streetlight Repair Investigation,,,,
Scheduled Yard Waste,,,,
Container Removal,,,,
Sidewalk Repair,,,,
Sidewalk Repair,,,,
Parking Enforcement,,,,
Leaf Collection Missed,,,,
Trash Collection - Missed,,,,
Trash Collection - Missed,,,,
Parking Enforcement,,,,
Illegal Dumping,,,,
Parking Enforcement,,,,
DC Government Information,,,,
Bulk Collection,,,,
Graffiti Removal,,,,
DC Government Information,,,,
Tree Removal,,,,
Parking Enforcement,,,,
Recycling Cart Delivery,,,,
DOB - Vacant Private Property Inspection,,,,
DC Government Information,,,,
Recycling Collection - Missed,,,,
Parking Enforcement,,,,
Roadway Signs,,,,
Parking Enforcement,,,,
Parking Meter Repair,,,,
Bulk Collection,,,,
Public Space Inspection,,,,
Sidewalk Repair,,,,
"DMV - Forms, Applications, and Manuals Request",,,,
Scheduled Yard Waste,,,,
Abandoned Vehicle - On Public Property,,,,
Parking Enforcement,,,,
Scheduled Yard Waste,,,,
Bulk Collection,,,,
Tree Inspection,,,,
Bee Treatment and Inspection (DOH),,,,
Residential Parking Permit Violation,,,,
Out of State Parking Violation (ROSA),,,,
DC Government Information,,,,
Supercan - Delivery,,,,
DC Government Information,,,,
Roadway Signs,,,,
Streetlight Repair Investigation,,,,
Roadway Signs,,,,
Scheduled Yard Waste,,,,
DC Government Information,,,,
Residential Parking Permit Violation,,,,
Parking Enforcement,,,,
Leaf Collection Missed,,,,
DC Government Information,,,,
Residential Parking Permit Violation,,,,
DC Government Information,,,,
Bulk Collection,,,,
Out of State Parking Violation (ROSA),,,,
Bulk Collection,,,,
Recycling Cart Delivery,,,,
Parking Enforcement,,,,
Recycling Collection - Missed,,,,
Pothole,,,,
Pothole,,,,
Pothole,,,,
Roadway Signs,,,,
Parking Enforcement,,,,
Dockless Vehicle Parking Complaint,,,,
Rodent Inspection and Treatment,,,,
Bulk Collection,,,,
Sanitation Enforcement,,,,
Scheduled Yard Waste,,,,
Rodent Inspection and Treatment,,,,
Bulk Collection,,,,
Pothole,,,,
Bulk Collection,,,,
Sanitation Enforcement,,,,
DC Government Information,,,,
Parking Enforcement,,,,
DMV - Vehicle Registration Issues,,,,
Trash Collection - Missed,,,,
Public Space Inspection,,,,
DC Government Information,,,,
Parking Enforcement,,,,
Recycling Collection - Missed,,,,
Trash Collection - Missed,,,,
Trash Collection - Missed,,,,
Rodent Inspection and Treatment,,,,
Scheduled Yard Waste,,,,
Parking Enforcement,,,,
DC Government Information,,,,
Bulk Collection,,,,
Rodent Inspection and Treatment,,,,
Leaf Collection Missed,,,,
Bulk Collection,,,,
Recycling Collection - Missed,,,,
Bulk Collection,,,,
"Lost/Stolen Compost Bin, Broken Compost Bin or Opt-Out of Curbside Composting Pilot Program",,,,
Roadway Signs,,,,
Pothole,,,,
Dockless Vehicle Parking Complaint,,,,
Roadway Striping / Markings,,,,
Roadway Signs,,,,
Bicycle Services,,,,
Scheduled Yard Waste,,,,
Bulk Collection,,,,
Recycling Cart Delivery,,,,
Illegal Dumping,,,,
Bulk Collection,,,,
Recycling Collection - Missed,,,,
Tree Inspection,,,,
Scheduled Yard Waste,,,,
Recycling Cart Delivery,,,,
Trash Cart Repair,,,,
Container Removal,,,,
Parking Enforcement,,,,
Streetlight Repair Investigation,,,,
Trash Collection - Missed,,,,
Bulk Collection,,,,
Recycling Collection - Missed,,,,
Rodent Inspection and Treatment,,,,
Bulk Collection,,,,
Trash Collection - Missed,,,,
Sanitation Enforcement,,,,
Bulk Collection,,,,
Residential Parking Permit Violation,,,,
Scheduled Yard Waste,,,,
Trash Collection - Missed,,,,
Sanitation Enforcement,,,,
Sanitation Enforcement,,,,
Roadway Signs,,,,
Bulk Collection,,,,
DOB - Vacant Private Property Inspection,,,,
DMV - Vehicle Registration Issues,,,,
Scheduled Yard Waste,,,,
Bulk Collection,,,,
Bulk Collection,,,,
Roadway Signs,,,,
Residential Parking Permit Violation,,,,
